character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Jigglypuff,3,357,1,16832,7.8,16,0.6,0.2,15,15,6,4
Marth,2,445,0,3214,6,36.8,0.9,0.7,31,7,2,2
Falco,0,430,0,5632,15,13.2,0.5,0.5,14,11,7,2
Fox,2,436,1,5952,2.8,31.2,0.5,0.6,25,11,3,8
Falco,1,478,1,9006,4.5,25.1,0.6,0.7,10,19,7,2
Fox,2,418,1,10115,5,23.4,0.5,0.6,34,17,11,6
Fox,0,436,0,8449,8,13.7,0.5,0.4,26,19,12,5
Falco,1,415,0,11820,6.3,19.6,0.5,0.6,52,17,12,2
Marth,0,392,0,9296,5.3,22.2,0.5,0.7,28,19,4,20
Falco,3,476,0,5676,8,20.5,0.5,0.5,27,11,0,0
Marth,2,352,0,7918,6.5,23.2,0.5,0.5,15,11,11,9
Falco,0,351,0,9327,18,12.6,0.5,0.3,45,11,3,4
Fox,3,567,1,9122,3.8,25.5,0.6,0.6,12,13,3,7
Falco,0,440,0,10025,9,15.9,0.4,0.5,7,19,1,0
Jigglypuff,2,193,0,2292,0,,0,,0,0,0,0
Fox,2,486,0,8770,17,11.9,0.3,0.3,37,10,1,4
Fox,1,327,0,10433,8,15.9,0.4,0.6,55,20,3,4
Jigglypuff,0,564,0,8083,4.7,14.3,0.5,0.2,9,21,8,9
Fox,1,561,1,6179,3.5,32.6,1,0.6,60,29,12,2
Jigglypuff,3,542,0,11436,7.7,16.9,0.6,0.4,13,8,7,4
Fox,2,576,1,9421,5.8,17.5,0.6,0.6,70,17,2,5
Falco,0,105,0,3494,0,4,0,0,0,0,0,0
Falco,1,490,0,2481,3,38.9,0.8,1,2,5,3,0
Falco,0,481,0,9218,6.7,19.1,0.5,0.5,36,16,3,2
Falco,0,481,1,10685,5.5,19.8,0.6,0.6,9,21,4,2
Jigglypuff,3,350,0,8526,14,14,0.1,0.4,3,12,4,2
Fox,0,455,0,9020,7,18.5,0.3,0.5,64,23,6,9
Marth,0,285,0,7810,7,19.4,0.6,0.5,23,14,8,9
Falco,0,431,1,9498,5.3,22.6,0.7,0.8,20,12,5,5
Fox,0,552,1,9975,5.5,20.3,0.6,0.6,68,55,6,5
Falco,2,514,0,8653,7.5,19.3,0.6,0.6,6,13,7,2
Falco,1,440,1,9549,6,16,0.6,0.6,6,25,3,3
Fox,1,262,0,9388,5,9.2,0.6,0,37,20,28,0
Falco,1,565,1,4976,2.8,37.5,1,0.8,0,11,6,0
Fox,1,415,0,12496,5.7,25.3,0.4,0.8,32,25,11,8
Fox,2,606,1,11241,5.5,18.9,0.5,0.5,56,28,11,2
Jigglypuff,2,436,1,10824,4.8,18.4,0.5,0.4,14,9,11,10
Falco,1,518,1,5366,3.5,28.2,0.7,0.8,14,7,4,2
Fox,1,663,0,2344,0,16.2,0.5,0.7,8,13,2,2
Marth,1,388,1,8594,4,20.2,0.5,0.4,42,11,16,9
Fox,3,103,0,3281,0,14,0,0,0,0,0,0
Fox,0,573,0,9445,5,30.2,0.6,0.8,44,18,9,19
Marth,2,446,0,9516,7,21,0.2,0.6,31,23,7,7
Fox,1,515,0,13807,6.7,18.1,0.6,0.4,40,19,11,9
Fox,0,301,1,10363,4.3,21.6,0.5,0.5,14,11,3,19
Falco,2,465,1,10195,4.5,20,0.5,0.7,32,13,7,2
Fox,0,488,0,6967,8,20.1,0.5,0.5,64,15,4,10
Fox,0,548,1,12430,5.8,20.9,0.5,0.6,47,34,10,21
Fox,0,419,1,11410,5.5,21.2,0.5,0.5,131,29,11,5
Jigglypuff,2,423,1,9067,4,19.3,0.5,0.4,3,7,8,13
Marth,1,592,1,11465,5.3,23,0.5,0.6,62,36,3,7
Fox,1,420,0,9782,7.3,16.2,0.8,0.5,57,12,7,6
Falco,1,396,1,10650,6.8,19.6,0.6,0.5,8,5,1,1
Fox,2,106,0,5478,1,14,0.1,1,0,0,3,0
Falco,0,494,0,12529,7.3,19.3,0.5,0.5,38,27,7,10
Fox,1,472,0,7645,5.3,28.3,0.6,0.8,16,10,7,7
Marth,2,507,1,12678,6,20.1,0.4,0.5,89,20,13,9
Fox,2,477,0,8085,5,18.6,0.5,0.5,19,7,9,7
Falco,3,310,0,6515,5.5,20.5,0.4,0.6,4,5,1,0
Falco,1,391,1,8623,3.5,24.8,0.6,0.8,22,5,3,2
Jigglypuff,0,360,0,6697,5,22.5,0.5,0.4,6,5,3,0
Marth,1,381,0,14736,7,16.5,0.3,0.4,32,21,10,24
Falco,2,579,0,8506,7,19.1,0.6,0.5,42,11,2,4
Marth,0,494,0,8352,7.5,14.3,0.2,0.3,19,0,1,0
Fox,2,583,1,4550,1.8,40.4,0.5,0.9,11,20,3,6
Jigglypuff,2,366,1,10448,5.5,21.4,0.7,0.5,3,9,9,14
Fox,1,361,0,9527,12,13.3,0.4,0.5,62,21,0,8
Marth,1,356,0,6039,7,20,0.4,0.4,20,2,4,5
Fox,2,512,1,7562,4.5,17.5,0.5,0.5,40,23,1,7
Fox,1,77,1,5203,1.8,20.5,0.7,1,0,0,0,0
Fox,0,526,1,9607,3.3,33,0.4,0.6,49,21,12,16
Fox,0,488,1,8806,4.8,25,0.6,0.5,36,23,4,3
Falco,2,458,0,6349,3.7,41.6,0.6,0.8,1,16,3,1
Fox,3,534,0,4521,8,18,0.6,0.6,24,13,0,0
Falco,1,398,0,7327,10,14,0.5,0.3,9,7,7,2
Fox,0,392,0,8649,7,18.5,0.4,0.4,19,14,6,4
Falco,2,561,1,8947,4,24.1,0.5,0.8,39,10,10,2
Fox,2,115,0,7459,1.3,9.4,0,0,0,0,0,0
Falco,1,471,0,7330,6,20.5,0.4,0.6,35,20,0,2
Marth,0,404,0,3424,5,6.4,0,0,12,6,4,5
Fox,0,510,1,13782,5.5,25.2,0.4,0.5,74,50,12,20
Fox,0,298,1,10711,5,18.1,0.5,0.5,34,0,10,2
Jigglypuff,0,360,1,5675,2.8,24.7,0.5,0.6,0,6,2,11
Fox,0,477,1,9292,4.3,18.8,0.5,0.5,63,18,5,10
Fox,1,562,1,11099,4.8,23.7,0.6,0.6,63,24,9,13
Marth,2,364,0,6417,5.5,15.8,0.2,0.3,14,19,8,1
Fox,1,514,1,11776,4.3,28,0.5,0.7,47,31,14,7
Falco,2,458,1,14753,7.3,18.8,0.6,0.4,12,28,12,8
Fox,2,433,1,10709,5,16.3,0.4,0.5,29,4,8,6
Jigglypuff,2,386,1,13026,6,19,0.5,0.5,6,7,12,14
Falco,0,600,1,8800,4.5,25,0.6,0.7,17,15,1,4
Fox,1,468,0,10766,7,19.1,0.4,0.6,23,33,9,6
Fox,0,503,1,6286,2.3,25.6,0.6,0.6,35,16,3,6
Marth,0,386,0,13687,6.7,15.9,0.4,0.4,58,50,8,22
Fox,2,551,1,9318,5,22.3,0.5,0.6,24,28,5,4
Fox,1,640,1,9910,4.5,24,0.5,0.6,30,38,12,7
Fox,2,408,0,6326,5,19.9,0.4,0.4,19,6,5,2
Marth,2,210,0,12800,27,12.8,0.5,0.2,0,0,2,7
Fox,0,491,0,10338,10.5,16.3,0.5,0.4,76,21,8,11
Marth,2,418,1,13088,6.3,17,0.5,0.6,69,15,12,15
Marth,0,420,0,6627,13,17.8,0.4,0.6,23,3,1,13
Fox,2,567,1,9460,5.5,17.6,0.6,0.5,10,27,5,9
Marth,0,394,0,8311,10.5,15.9,0.5,0.4,20,24,7,7
Fox,1,442,0,9125,12,21.7,0.4,0.6,16,20,10,3
Fox,0,436,1,5154,3,29,0.9,0.8,6,10,2,0
Falco,1,122,0,3845,6,9.5,0.6,0.3,0,0,0,2
Fox,0,450,0,10335,6,17.1,0.4,0.4,40,30,6,10
Marth,0,370,0,9848,20,12.8,0.6,0.7,30,12,3,17
Fox,0,537,1,15334,7.8,15.5,0.5,0.5,45,28,12,9
Falco,0,594,0,11037,7.7,15.5,0.7,0.4,47,32,5,6
Marth,2,381,0,5071,0,10.5,0.1,0.3,11,2,1,9
Falco,0,423,1,9179,4.8,25,0.6,0.7,12,11,5,1
Fox,0,480,1,13366,7,13.3,0.6,0.4,91,32,10,16
Falco,2,521,1,7739,3.3,27.3,0.4,0.9,24,10,9,2
Fox,2,516,0,7139,9,13,0.7,0.5,13,13,8,1
Fox,1,380,1,7793,4.8,20.7,0.8,0.5,50,15,4,9
Falco,2,464,1,4753,3,22.3,0.8,0.7,6,6,3,1
Fox,2,535,1,12537,8,17.9,0.7,0.5,66,16,8,9
Fox,0,462,0,11862,5.7,20.9,0.5,0.5,97,21,8,9
Marth,2,410,0,9961,10,16.1,0.4,0.6,6,25,0,10
Fox,2,488,1,9089,5,18.9,0.8,0.5,72,26,7,4
Marth,2,363,0,10085,7,21.3,0.5,0.6,61,23,6,5
Fox,2,423,0,9950,8.5,15.3,0.3,0.4,12,6,2,5
Fox,2,457,1,7608,3,23,0.4,0.6,51,12,4,4
Marth,3,391,0,10211,20,12.9,0.5,0.4,34,12,5,6
Marth,1,397,1,11902,4.8,22.8,0.5,0.6,38,31,18,12
Jigglypuff,1,410,1,7197,3.5,21.7,0.7,0.6,2,5,2,6
Fox,2,120,0,6457,0,11.1,0,1,0,0,2,0
Fox,2,366,0,7433,5.5,21.4,0.4,0.6,17,5,3,9
Fox,1,504,1,7174,2.8,43.3,0.7,0.9,67,31,7,7
Fox,2,383,0,10676,10.5,16.5,0.5,0.3,31,14,4,9
Fox,0,345,1,12739,6.3,17.3,0.4,0.5,84,20,7,17
Marth,1,349,1,10035,5.3,21.8,0.7,0.4,13,31,15,10
Falco,2,493,0,11891,7.7,21.4,0.7,0.6,17,18,3,4
Falco,1,444,1,8057,5,22.6,0.8,0.6,22,23,6,0
Marth,0,647,0,8965,3.5,25,0.3,0.7,39,56,9,12
Fox,1,603,1,7268,3.8,25.9,0.6,0.5,23,13,5,6
Falco,0,535,1,9272,4.5,23.7,0.7,0.5,6,6,4,4
Fox,0,384,1,7140,4,24.8,0.7,0.6,31,9,5,8
Marth,2,344,1,7700,3.8,14.6,0.4,0.5,21,31,5,12
Marth,0,320,0,8806,8,13.1,0.2,0.1,0,9,3,8
Falco,0,485,0,7409,5.3,18.2,0.5,0.6,25,6,9,5
Fox,0,519,0,11787,8.7,14.4,0.6,0.4,54,37,13,14
Marth,1,312,0,14614,7.7,20.8,0.5,0.6,61,14,14,19
Marth,1,325,1,10267,3.8,30.5,0.5,0.7,50,38,2,17
Fox,0,519,1,9043,4.3,25,0.6,0.5,52,20,7,12
Falco,0,504,1,7429,3,26.3,0.6,0.7,29,14,0,3
Jigglypuff,0,550,0,8820,5.5,15.3,0.2,0.4,4,7,6,5
Falco,0,499,1,12402,7,19.9,0.6,0.6,26,22,8,2
Fox,0,96,1,3124,0.3,16.7,0,0,0,0,2,0
Falco,0,508,1,7340,4.5,19.5,0.5,0.5,18,11,6,1
Falco,2,532,0,3162,6,18.3,0.5,0.5,8,7,0,0
Jigglypuff,1,451,1,7094,4,16.4,0.6,0.3,25,11,8,3
Fox,0,416,0,7235,10,13.9,0.4,0.5,30,10,7,4
Fox,2,562,0,14466,8.3,16.8,0.5,0.3,47,65,5,17
Marth,0,498,0,7490,14,13.1,0.4,0.4,33,20,5,9
Marth,0,384,0,9854,6,19.7,0.4,0.6,56,14,6,24
Falco,0,472,1,8278,4,22.8,0.5,0.6,8,12,7,6
Marth,2,496,0,11893,6.7,22.7,0.3,0.7,30,25,4,17
Fox,2,439,1,6259,4,21.1,0.7,0.6,18,3,7,6
Marth,2,362,0,9479,6,20,0.4,0.4,23,11,7,15
Falco,0,498,0,6958,4.3,31.6,0.5,0.7,12,14,3,2
Fox,1,415,0,5957,4,16.7,0.5,0.6,26,19,3,6
Falco,2,300,0,7880,8.5,13.8,0.6,0.5,19,9,8,4
Fox,1,310,1,11096,4.8,24,0.7,0.7,8,17,9,9
Marth,1,429,1,8729,3,34.1,0.6,0.7,38,29,13,11
Fox,2,517,0,8599,9,13.7,0.5,0.4,24,20,7,6
Fox,2,391,0,10399,6.5,18.1,0.4,0.5,11,3,4,1
Fox,3,462,1,6139,2.5,39.4,1,0.9,7,21,13,1
Fox,2,562,1,8367,4,22.8,0.6,0.6,40,20,3,3
Falco,1,363,0,8619,12,15.1,0.5,0.5,12,9,3,1
Falco,0,507,1,7409,4,20.6,0.5,0.4,9,12,7,2
Jigglypuff,0,409,0,7033,4.3,18,0.4,0.3,1,12,6,3
Falco,0,432,0,17675,2.4,34.4,0.5,0.8,15,59,92,2
Falco,3,468,0,6691,7.5,20.3,0.6,0.5,13,4,2,3
Falco,1,517,1,6791,4.3,17.5,0.7,0.5,49,13,8,0
Falco,2,371,0,6107,6,20.8,0.5,0.8,7,7,3,1
Falco,0,484,1,12513,5.3,21.5,0.3,0.6,28,16,7,2
Marth,0,401,0,7295,9,15.6,0.4,0.4,35,28,6,14
Marth,2,180,0,9550,10.5,13.5,0.5,0.5,3,4,4,8
Fox,3,604,0,7438,8,18.3,0.6,0.4,51,38,9,5
Marth,0,514,1,4111,1.8,16.6,0.7,0.4,11,4,0,6
Marth,2,353,0,6420,8,19,0.2,0.5,9,6,1,12
Fox,1,546,1,7505,4.5,20.6,0.7,0.5,32,44,5,6
Falco,0,465,0,8182,5,22.7,0.5,0.6,21,18,14,1
Fox,0,452,0,11926,10,19.3,0.5,0.7,65,31,13,18
Marth,0,419,1,7607,2.5,36.1,0.6,0.8,66,37,4,10
Falco,0,457,1,9673,5,22.5,0.6,0.7,33,6,3,1
Falco,0,469,0,6069,7.5,19.9,0.5,0.6,23,11,0,1
Marth,2,527,0,7606,12,11.6,0.3,0.2,21,2,2,4
Falco,0,526,1,8050,5,19.3,0.6,0.5,14,26,8,1
Fox,0,439,0,7727,6.5,16.8,0.4,0.5,8,22,9,0
Marth,1,390,1,6955,3.3,27.3,0.7,0.5,3,5,0,2
Falco,1,410,1,16874,7.8,18.9,0.6,0.5,46,44,18,5
Fox,0,554,1,10598,5.5,21.1,0.6,0.5,75,44,11,16
Fox,2,473,0,6083,11,12.1,0.2,0.4,21,11,5,4
Marth,0,517,0,6043,7,21.5,0.3,0.7,35,5,3,4
Marth,0,337,1,6397,3.5,21.9,0.7,0.6,10,12,4,5
Marth,1,536,0,8811,10.5,16.3,0.7,0.4,73,22,15,10
Fox,1,505,0,7785,12,13.5,0.3,0.4,14,36,2,1
Falco,1,370,0,3022,0,12.5,0.4,0.4,4,2,0,1
Fox,0,455,0,5584,0,15.3,0.2,0.5,32,4,6,4
Marth,1,464,1,13175,5,20.9,0.5,0.5,108,18,18,17
Falco,1,449,0,10217,8.5,18.3,0.4,0.5,20,9,11,3
Falco,1,519,0,9089,5.3,20.9,0.5,0.4,17,19,5,3
Marth,0,347,1,10968,4.3,22.3,0.5,0.6,59,24,3,26
Fox,1,531,0,13517,7.7,16.9,0.5,0.3,39,28,5,10
Falco,1,623,1,12823,7.8,16.1,0.8,0.5,43,27,8,2
Fox,0,501,1,8311,4.5,22,0.6,0.6,44,26,7,10
Jigglypuff,1,493,1,7940,4.5,18.8,0.7,0.5,8,21,7,7
Marth,0,457,1,8722,4,27,0.5,0.6,30,22,5,15
Falco,0,478,1,6011,3.8,30.6,0.7,0.7,24,13,2,0
Falco,0,629,0,7773,10.5,15.9,0.8,0.4,18,9,5,1
Falco,2,430,0,7502,4.3,21.3,0.5,0.8,37,20,2,4
Marth,2,367,0,5133,4,23.9,0.1,0.5,9,0,2,4
Falco,1,536,1,5618,4,24.6,0.8,0.8,35,12,5,3
Fox,0,557,1,8424,4.8,21,0.6,0.5,33,23,1,14
Falco,3,357,1,20103,11.5,13.5,0.8,0.6,28,28,76,9
Falco,0,406,1,7895,4.5,21.3,0.5,0.4,10,7,5,0
Falco,2,395,1,8965,5,23.8,0.5,0.7,1,12,9,5
Fox,0,645,0,6249,17,12.7,0.4,0.3,30,19,1,1
Fox,1,662,1,4939,2.8,21.9,0.7,0.6,59,12,3,3
Falco,2,439,0,11263,10.3,12.6,0.5,0.4,15,8,4,1
Marth,1,365,1,14504,5.5,20.5,0.5,0.4,32,47,17,14
Marth,2,496,1,10739,5.5,23.4,0.5,0.5,33,30,10,4
Fox,1,536,0,8344,7.5,22.9,0.6,0.7,43,16,2,9
Marth,1,259,0,6193,13,13.8,0.7,0.3,4,6,0,10
Falco,0,448,0,6886,8.5,17.7,0.6,0.6,24,11,6,0
Fox,2,497,1,6054,3.8,19.4,0.7,0.5,57,36,1,2
Falco,2,483,1,7723,4.5,22.8,0.7,0.6,8,12,7,5
Falco,0,583,1,10380,5.5,20.7,0.5,0.6,27,26,2,4
Marth,0,452,0,12845,7.3,21.1,0.5,0.6,88,23,7,17
Marth,0,529,1,13643,5.5,22.9,0.6,0.6,32,43,18,20
Marth,1,383,0,8893,13,17.8,0.6,0.6,63,17,9,5
Fox,1,621,0,7225,7.5,16.5,0.6,0.4,39,12,0,8
Falco,0,581,0,4159,0,20.9,0,0.5,17,6,0,0
Fox,2,401,0,11627,11.5,14.7,0.5,0.3,34,27,6,4
Falco,3,469,1,12434,6.3,18.5,0.8,0.5,52,37,6,2
Fox,2,368,0,10850,5.7,21.5,0.3,0.5,9,21,5,7
Falco,3,470,0,6627,12,12.4,0.6,0.3,31,13,8,1
Falco,3,485,1,10526,4.8,23.8,0.5,0.5,43,19,7,13
Fox,0,346,0,8656,13,14.5,0.4,0.4,45,25,3,3
Falco,0,425,0,5491,11,17.6,0.8,0.5,22,7,4,2
Marth,2,169,0,2004,1,46,1,1,6,0,0,1
Fox,1,455,1,7526,3.5,26.8,0.8,0.8,44,16,1,6
Falco,3,532,0,10939,8.5,18.5,0.4,0.4,26,17,3,2
Fox,1,111,0,7400,0,12.6,0.1,0.3,0,0,0,0
Fox,3,441,0,13652,6.7,17.9,0.3,0.5,128,22,9,7
Falco,2,226,0,5946,3,39.1,0.3,0.8,0,5,3,0
Marth,0,494,1,6080,2.8,27.2,0.7,0.8,13,17,11,4
Fox,0,576,1,7726,5,19.1,0.7,0.5,16,20,10,2
Marth,0,303,0,10627,5.7,19.4,0.4,0.2,36,18,13,12
Falco,0,477,1,9207,5,22.5,0.6,0.7,27,21,2,0
Marth,2,240,1,12133,6,14.6,0.5,0.5,55,0,3,15
Fox,2,420,0,13726,9.7,14.6,0.5,0.3,11,20,11,11
Fox,0,482,0,8443,7.5,18,0.4,0.6,95,16,4,6
Jigglypuff,0,522,1,10501,4.8,20.9,0.5,0.5,11,29,15,18
Fox,0,427,0,10308,5,20.9,0.4,0.5,4,11,7,6
Marth,0,433,1,10943,5.3,23.1,0.5,0.6,34,12,9,15
Falco,0,351,0,5866,8,23,0.5,0.6,15,4,2,1
Falco,1,484,0,15272,11,17.9,0.5,0.6,42,9,4,5
Fox,1,475,0,4809,4,15,0.2,0.5,17,8,0,5
Falco,2,442,1,8525,4.3,24.5,0.6,0.6,7,33,6,0
Marth,0,370,1,8561,4,24.6,0.5,0.7,52,18,4,19
Fox,1,351,0,10188,6,25.9,0.6,0.7,78,37,3,12
Marth,0,437,1,10317,5.8,20.4,0.6,0.6,14,21,6,14
Marth,1,580,1,9734,6.3,18.9,0.7,0.4,35,38,5,11
Marth,2,383,0,9488,7,12.9,0.2,0.4,23,18,7,17
Fox,3,490,0,10931,5,19.3,0.3,0.5,68,25,7,9
Fox,1,639,1,8521,4.5,22.4,0.7,0.6,26,29,5,10
Falco,1,395,1,8118,3.3,33.3,0.7,0.8,20,18,6,7
Fox,1,623,1,7076,3.3,19.3,0.4,0.5,33,10,11,3
Fox,2,485,0,9588,6,18.6,0.5,0.4,66,28,1,10
Marth,2,255,0,8069,4.3,22.7,0.6,0.7,1,6,5,7
Marth,1,338,1,14346,6,21.2,0.6,0.7,87,21,14,29
Fox,1,523,0,11188,0,1.1,0.9,0.6,59,78,39,8
Fox,2,555,1,9423,4.8,20.5,0.4,0.4,39,17,7,1
Falco,0,490,1,10604,3.8,23.5,0.5,0.7,48,15,2,4
Marth,2,431,1,11709,5.5,22.7,0.6,0.6,26,25,11,10
Fox,2,286,0,5442,8,12.1,0.5,0.4,19,6,4,0
Marth,0,444,0,9804,19,13.5,0.4,0.5,33,14,10,17
Marth,0,489,1,5920,4.5,18.1,0.7,0.3,19,11,13,3
Fox,1,404,1,10664,4.8,24.4,0.4,0.6,43,34,10,5
Falco,1,443,1,5527,3.3,18.2,0.9,0.6,5,10,5,2
Falco,1,525,0,10796,6.7,24.6,0.7,0.7,25,6,8,2
Marth,2,223,0,7715,5,14,0.3,0.2,10,1,5,1
Falco,0,504,1,9481,5,25.2,0.6,0.6,22,18,7,3
Fox,0,477,0,9659,6,14.5,0.2,0.6,71,35,10,9
Falco,1,570,0,11571,8.7,17,0.5,0.5,58,21,6,3
Falco,0,505,0,8195,10,14.9,0.6,0.5,5,5,3,7
Fox,2,560,0,8769,5.7,14.6,0.4,0.4,42,16,2,5
Marth,0,451,1,8937,4,15.8,0.5,0.3,54,23,4,14
Falco,0,389,0,5929,7,11.1,0.3,0.2,11,6,6,3
Marth,2,358,1,11126,3.5,26.7,0.4,0.6,62,48,7,10
Falco,1,502,1,10089,5.3,25.4,0.7,0.7,27,11,8,0
Fox,2,513,1,8779,4.5,19.2,0.4,0.4,64,23,6,3
Fox,0,568,1,11941,5.3,22.2,0.5,0.6,105,24,12,15
Fox,2,436,0,5430,8,17.9,0.2,0.6,4,13,4,2
Fox,0,478,0,5196,7,7.7,0.4,0.3,9,14,4,1
Falco,0,556,0,10004,7,18.9,0.4,0.6,34,11,6,1
Fox,2,533,1,5934,2.3,17.6,0.3,0.4,23,19,4,2
Fox,0,413,0,10634,6.3,15,0.5,0.3,38,35,11,7
Fox,2,444,0,8056,6,21.7,0.3,0.4,23,13,2,3
Fox,1,602,0,7358,4.3,34.2,0.6,0.8,22,11,8,4
Fox,1,348,0,5106,6,21.1,0.4,0.7,10,0,1,1
Falco,3,567,1,15615,5.8,22.3,0.5,0.7,38,13,6,5
Fox,1,543,1,10494,4.8,21.2,0.5,0.6,50,19,0,5
Falco,0,503,0,8162,5.7,27.1,0.7,0.6,30,18,7,2
Fox,1,393,0,15911,9.7,17.1,0.6,0.4,75,49,16,9
Fox,1,476,1,9619,3.5,30.5,0.7,0.9,57,32,6,6
Marth,0,647,1,4900,1.5,51.6,1,0.8,8,20,10,6
Falco,0,467,1,7788,4.3,25.8,0.6,0.7,23,12,1,1
Marth,2,445,1,4989,2.5,25.5,0.7,0.6,46,14,3,7
Falco,1,441,1,8883,4.8,22.3,0.7,0.7,15,8,6,1
Fox,1,457,0,11462,5.7,21.3,0.5,0.5,60,26,12,10
Fox,0,479,0,9082,21,12.4,0.8,0.5,76,79,2,17
Fox,0,523,0,13086,7.7,20.5,0.4,0.5,52,30,18,10
Marth,0,376,0,7272,10,17.6,0.4,0.5,15,9,4,4
Fox,0,494,0,7628,12,18.3,0.4,0.4,18,10,7,6
Fox,1,472,1,6931,3.3,39,0.8,0.8,7,14,5,4
Marth,1,355,0,9058,16,17,0.6,0.6,12,20,10,4
Fox,1,472,0,16719,3,10.3,0.6,0,360,113,13,1
Fox,0,372,0,6227,7,9.5,0.3,0.3,40,14,7,5
Falco,2,394,1,12350,6,21.1,0.5,0.5,0,3,1,7
Fox,1,375,0,8412,4.7,14.1,0.5,0.4,3,2,5,2
Falco,0,527,0,11698,7.7,21.2,0.5,0.7,42,10,3,5
Marth,0,423,1,11929,5.3,18.2,0.4,0.4,70,35,22,17
Falco,1,508,0,11352,9,15.2,0.7,0.4,58,8,14,2
Fox,0,495,0,6170,13,15.2,0.6,0.3,27,23,3,4
Jigglypuff,0,536,0,7421,5.3,17.4,0.4,0.4,0,12,8,6
Falco,1,342,0,8297,15,17.1,0.4,0.5,1,1,4,1
Fox,1,426,0,9775,8,20.4,0.4,0.6,53,3,0,5
Falco,2,530,1,10238,5.3,21.1,0.7,0.6,5,11,2,2
Falco,1,385,0,5431,0,8.5,0.5,0.2,12,6,4,3
Marth,0,399,1,7862,3,17.1,0.2,0.3,52,17,9,11
Fox,2,577,1,6919,5.3,15.9,0.7,0.4,54,13,3,2
Falco,0,442,1,9948,5.8,23.9,0.7,0.7,19,4,5,1
Fox,0,534,0,7026,13,14.3,0.5,0.3,40,21,7,4
Falco,0,435,1,13606,6.8,18.6,0.5,0.6,47,18,7,4
Falco,2,468,0,12393,8,15.4,0.4,0.5,7,14,5,7
Fox,1,546,0,8801,6,15.9,0.4,0.3,56,10,1,4
Fox,0,527,0,7819,4.5,18.4,0.4,0.7,36,16,3,3
Falco,0,432,0,9118,10.5,15.7,0.7,0.4,33,11,8,3
Fox,2,559,0,8640,8.5,19.8,0.5,0.5,22,5,3,6
Fox,1,444,0,10013,5.7,21,0.5,0.5,98,12,2,3
Marth,2,375,0,4640,9,23.8,0.4,0.7,15,21,2,7
Fox,0,532,1,12401,5.3,20,0.4,0.5,86,22,15,11
Jigglypuff,0,563,0,13126,10.5,14.8,0.6,0.2,3,8,7,2
Falco,2,418,1,10954,6.8,17.7,0.7,0.4,50,10,6,3
Fox,2,414,1,8361,5.5,14.9,0.6,0.3,38,12,5,4
Falco,0,853,0,5632,0,9.7,0.7,1,112,29,5,0
Marth,1,345,0,8958,7,16.5,0.3,0.4,81,28,27,6
Fox,1,463,0,9403,7.5,20.6,0.6,0.7,14,31,5,6
Jigglypuff,1,365,1,7768,5,13.8,0.8,0.4,23,13,7,4
Falco,1,495,0,11583,8,15.7,0.5,0.4,10,12,9,1
Marth,2,495,0,8442,14,12.3,0.4,0.1,39,13,8,5
Falco,0,509,1,7925,4.5,23.3,0.8,0.7,59,17,12,2
Fox,0,542,0,4828,0,21.8,0.2,0.3,21,11,2,6
Fox,0,627,1,6498,3.3,27.8,0.4,0.5,33,10,8,5
Jigglypuff,0,336,0,7573,12,9.8,0.5,0,0,10,8,7
Falco,2,547,0,7681,14,12.4,0.3,0.5,28,18,5,2
Falco,2,516,1,9790,5.3,20.5,0.5,0.6,18,18,4,4
Falco,0,552,1,8654,5,22.3,0.6,0.4,3,9,5,6
Falco,0,420,0,8583,15,12.8,0.4,0.1,5,9,3,1
Marth,2,462,1,8967,5,22.7,0.7,0.8,21,23,16,11
Fox,1,299,0,9411,6,15,0.7,0.4,10,8,3,5
Falco,2,524,1,7066,4,25.5,0.7,0.6,23,9,7,0
Falco,3,445,0,6010,9,15.1,0.4,0.7,58,7,4,0
Falco,0,560,1,8744,5,20,0.8,0.5,16,17,2,7
Marth,1,345,0,11742,7,21.1,0.6,0.6,50,47,3,9
Jigglypuff,0,607,1,9832,6,17.8,0.6,0.4,14,44,3,8
Marth,1,310,0,8493,13,16.1,0.5,0.4,15,21,9,12
Fox,0,645,1,5970,3,33.9,0.5,0.7,43,27,2,2
Falco,0,430,0,13261,9,15.5,0.5,0.4,44,7,10,6
Falco,2,459,0,9694,10,14.7,0.4,0.5,26,24,8,3
Falco,2,577,1,10372,5.3,19.8,0.4,0.6,25,11,5,4
Fox,0,372,0,11996,5.3,20,0.3,0.5,71,24,10,9
Marth,1,374,0,7367,6.5,15.7,0.6,0.5,17,26,2,10
Jigglypuff,0,474,1,9225,6.3,14,0.6,0.3,37,15,6,9
Fox,2,506,0,6992,7.5,17.5,0.4,0.4,29,22,5,6
Falco,2,521,1,6552,3.8,25.5,0.6,0.6,18,10,5,0
Falco,1,408,0,7317,12,16.4,0.4,0.6,24,8,3,1
Fox,2,111,0,4709,1,3.1,0.3,0,0,0,1,0
Falco,2,593,1,9691,5.5,19.4,0.5,0.5,29,34,5,2
Fox,1,558,0,10650,4.7,24.7,0.4,0.7,37,21,2,11
Marth,2,366,1,5148,2.5,19.1,0.3,0.7,10,11,9,4
Jigglypuff,1,350,0,5983,12,13.1,0.3,0.3,4,1,0,0
