character played,opponent char,ipm,win,length,openingPerKill,damagePerOpening,neutralWinRatio,openingConversionRate,ddCount,wdCount,lgCount,numGrabs
Falco,1,366,0,13491,10,16.5,0.7,0.5,49,18,4,6
Fox,0,466,0,12412,9,14.7,0.5,0.4,68,30,5,15
Fox,2,486,0,8556,10,16.7,0.5,0.6,17,9,3,7
Fox,2,461,1,7886,4,17.2,0.3,0.4,47,13,4,8
Marth,2,366,0,11404,4.7,20.2,0.3,0.5,61,15,7,13
Fox,1,128,0,4679,0,8,0,0,0,0,2,0
Fox,0,462,1,7784,3.3,36.1,0.8,0.6,22,12,2,12
Falco,0,485,0,10693,9.5,17.2,0.5,0.5,5,23,9,1
Falco,1,351,0,8337,6,12.8,0.4,0.4,23,11,4,1
Falco,1,391,1,8844,3.8,28.4,0.6,0.9,3,11,8,7
Marth,0,541,0,10705,8.5,17.4,0.3,0.5,19,28,8,13
Marth,1,582,0,7612,12,16.3,0.4,0.5,13,19,9,3
Fox,1,583,0,7624,6,13.5,0.4,0.2,22,25,3,5
Fox,1,453,0,11464,7.5,14.8,0.4,0.3,291,19,9,7
Fox,0,401,0,7826,9,14,0.3,0.6,48,27,10,5
Marth,2,352,0,7949,12,21.3,0.3,0.6,0,4,18,13
Marth,0,429,1,12834,6.3,19.9,0.3,0.4,42,49,12,11
Falco,0,395,1,12546,6.8,16.7,0.6,0.4,20,21,12,6
Fox,0,375,0,11413,8,24.9,0.4,0.6,51,9,8,10
Falco,0,525,0,9974,8,22.5,0.6,0.8,21,12,9,3
Falco,1,386,0,5848,11,16.8,0.7,0.5,17,7,3,2
Falco,2,487,1,8389,4.5,21.5,0.6,0.6,26,10,5,1
Fox,0,407,0,12089,8,21.3,0.4,0.6,30,33,9,17
Fox,2,510,1,10178,5.5,19.9,0.6,0.6,97,18,4,12
Fox,3,521,0,6734,3.3,27.6,0.5,0.6,40,18,1,3
Marth,0,548,1,10091,6.5,21.8,0.7,0.5,32,32,8,21
Fox,0,344,0,6959,10,14.4,0.3,0.2,8,4,8,3
Marth,0,576,1,11922,5.5,25.2,0.6,0.6,35,48,9,11
Falco,2,406,1,5953,3.5,18.8,0.7,0.6,10,7,4,0
Fox,0,591,0,10696,6,14.8,0.4,0.5,49,41,15,5
Falco,0,570,1,5555,3.3,32.7,0.7,0.8,15,17,8,2
Jigglypuff,0,285,1,11985,7,14.5,0.6,0.4,29,21,12,5
Fox,0,457,0,8794,14,15.6,0.5,0.4,56,30,4,8
Fox,0,540,0,6390,5.5,19.1,0.4,0.5,19,28,5,5
Marth,0,359,1,8179,3.8,18.2,0.6,0.6,69,18,6,15
Falco,0,445,1,7397,4.5,22.8,0.6,0.7,18,17,8,4
Marth,0,414,0,5166,8,19.5,0.2,0.5,18,6,2,6
Falco,1,488,1,11480,6,22.2,0.7,0.6,38,13,5,1
Falco,0,481,0,2553,2,29.1,0.6,0.8,17,8,0,0
Falco,1,506,1,9910,5.8,22.8,0.7,0.6,47,15,11,1
Marth,1,379,0,7371,6,16.8,0.5,0.5,23,17,3,4
Falco,2,270,1,5371,2,20.8,0.5,0.6,4,3,10,1
Falco,0,419,1,8863,5.3,17.8,0.4,0.5,33,7,8,2
Falco,2,451,0,10651,8,17.4,0.6,0.5,3,4,7,3
Falco,1,444,0,10621,7.7,20.2,0.8,0.6,33,16,6,4
Fox,2,635,1,7874,3.8,27.3,0.4,0.7,22,44,3,6
Falco,0,353,0,11999,18,15.6,0.3,0.4,14,2,3,2
Falco,0,477,0,10696,5.3,27,0.5,0.6,35,25,8,4
Fox,0,614,1,3500,2,16.8,0.6,0.6,17,17,4,1
Fox,1,526,0,7319,4.7,15.4,0.4,0.5,12,19,6,5
Falco,2,423,0,8278,9,18.3,0.6,0.5,39,13,7,1
Fox,0,532,1,5647,2.8,31.2,0.7,0.7,59,10,9,3
Fox,2,450,0,9616,7.7,16.1,0.5,0.4,32,16,4,4
Fox,1,615,0,4012,4.5,12.9,0.6,0.2,23,9,0,2
Fox,1,495,1,10569,4.8,19.6,0.5,0.6,27,48,12,5
Falco,1,458,1,5817,2.5,22.7,0.4,0.5,12,5,10,1
Falco,0,448,0,5942,11,18.5,0.3,0.7,17,7,1,2
Falco,2,360,0,7602,14,12.6,0.4,0.3,29,16,1,2
Fox,3,609,1,7361,3.5,24.8,0.7,0.6,119,13,0,4
Fox,2,472,1,13633,7.5,15.7,0.6,0.5,48,17,17,10
Fox,1,503,0,9801,8,21.8,0.5,0.3,34,11,5,6
